"sim","scenario","threshold","method","first_crossing","posterior_at_crossing","effect_at_crossing","final_effect","type_m"
2712,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.0108857354353325,NA
2712,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.0108857354353325,NA
2713,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.00765810672801998,NA
2713,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.00765810672801998,NA
2713,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.00765810672801998,NA
2713,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.00765810672801998,NA
2713,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.00765810672801998,NA
2713,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.00765810672801998,NA
2713,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.00765810672801998,NA
2714,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.0200102157242552,NA
2714,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.0200102157242552,NA
2714,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.0200102157242552,NA
2714,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.0200102157242552,NA
2714,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0200102157242552,NA
2714,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0200102157242552,NA
2714,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.0200102157242552,NA
2715,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.00591269488095292,NA
2715,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.00591269488095292,NA
2715,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.00591269488095292,NA
2715,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.00591269488095292,NA
2715,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.00591269488095292,NA
2715,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.00591269488095292,NA
2715,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.00591269488095292,NA
2716,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.00677223615367928,NA
2716,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.00677223615367928,NA
