"sim","mode","first_crossing","peak","final"
60,"correct_conditional",NA,1.00609183124312,0.572854246505051
61,"history_naive",14,9.51368023783377e+285,9.51368023783377e+285
61,"practical_naive",NA,2.26595108900965,0.280249285460318
61,"correct_conditional",NA,1.50311544726354,0.137158842069516
62,"history_naive",15,9.89223692761774e+285,9.89223692761774e+285
62,"practical_naive",NA,1.76541307707946,0.177913715745466
62,"correct_conditional",NA,1.67549873944108,0.883017503277785
63,"history_naive",14,9.51368023783375e+285,9.51368023783375e+285
63,"practical_naive",NA,2.99638413809161,0.0709522543437551
63,"correct_conditional",NA,1.76444099939991,0.0189489775624113
64,"history_naive",14,9.80356208609589e+285,9.80356208609589e+285
64,"practical_naive",NA,1.32239025676545,0.234543616317793
64,"correct_conditional",NA,1.25121434472359,0.420039772439748
65,"history_naive",15,9.7937585240098e+285,9.7937585240098e+285
65,"practical_naive",NA,2.06032281386241,0.286146625398968
65,"correct_conditional",NA,1.39639523102417,0.303168461825023
66,"history_naive",14,9.72540754083173e+285,9.72540754083173e+285
66,"practical_naive",NA,1.18723207765053,0.179353226458676
66,"correct_conditional",NA,1.21222003315793,0.16692579718242
67,"history_naive",14,9.94184684273176e+285,9.94184684273176e+285
67,"practical_naive",NA,1.61626002140327,0.217567835375832
67,"correct_conditional",NA,2.00244310957449,0.966047655847528
68,"history_naive",15,7.34531889300735e+285,4.8968792620049e+285
68,"practical_naive",NA,1.54932754660411,0.333949600480591
68,"correct_conditional",NA,1.3066238459841,0.346109102696647
69,"history_naive",15,7.2431501861664e+285,4.8287667907776e+285
69,"practical_naive",NA,2.04686608504458,0.114600978196586
69,"correct_conditional",NA,1.64615907806537,0.24201865014838
70,"history_naive",14,9.76440661991957e+285,9.76440661991957e+285
70,"practical_naive",NA,1.63293110934822,0.13561805487301
70,"correct_conditional",NA,1.57964941443795,0.167838399918648
71,"history_naive",14,9.69626048470645e+285,9.69626048470645e+285
71,"practical_naive",NA,1.99590770498097,0.310527136569004
71,"correct_conditional",NA,1.02440104244778,0.137292999070208
72,"history_naive",14,7.2649231681663e+285,4.84328211211086e+285
72,"practical_naive",NA,2.42264517724183,0.426600365834641
72,"correct_conditional",NA,3.62074024720349,0.803083913614838
73,"history_naive",14,9.91205111780224e+285,9.91205111780224e+285
73,"practical_naive",NA,1.21271576521306,0.212539397285065
73,"correct_conditional",NA,1.64919545969702,0.593188431316585
74,"history_naive",15,9.77418080072027e+285,9.77418080072027e+285
74,"practical_naive",NA,2.9682079169983,0.294222557182584
74,"correct_conditional",NA,2.09943987841036,0.16763459427301
75,"history_naive",14,9.78396476548575e+285,9.78396476548575e+285
75,"practical_naive",NA,2.11396269590326,1.08264555905411
75,"correct_conditional",NA,3.91605689547426,2.70592967369991
76,"history_naive",14,7.29405565562382e+285,4.86270377041588e+285
76,"practical_naive",NA,1.18137863197556,0.195517548059081
76,"correct_conditional",NA,1.49217236323182,0.280930846982967
77,"history_naive",14,9.76440661991957e+285,9.76440661991957e+285
77,"practical_naive",NA,2.05185158465693,0.508362729619756
77,"correct_conditional",NA,2.12249591246245,1.10927682913364
78,"history_naive",14,9.77418080072024e+285,9.77418080072024e+285
78,"practical_naive",NA,1.21653458763715,0.365021794834787
78,"correct_conditional",NA,1.04784866383642,0.418271704109165
79,"history_naive",14,9.70596645115758e+285,9.70596645115758e+285
79,"practical_naive",NA,1.11441054560567,0.166668948996345
79,"correct_conditional",NA,1.06251262797899,0.170077210011586
80,"history_naive",14,9.70596645115768e+285,9.70596645115768e+285
80,"practical_naive",NA,3.4887754328691,2.67587428619769
80,"correct_conditional",2550,26.4677640125907,20.2782242872569
81,"history_naive",14,7.19979978754778e+285,4.79986652503185e+285
81,"practical_naive",NA,11.5372444245262,0.113194703005271
81,"correct_conditional",NA,3.59645809306614,0.0234564263704585
82,"history_naive",15,7.10676192068894e+285,4.7378412804593e+285
82,"practical_naive",NA,1.18884771158953,0.376700813263645
82,"correct_conditional",NA,1.34120541768985,1.10163689635675
83,"history_naive",15,9.76440661991953e+285,9.76440661991953e+285
83,"practical_naive",NA,1.96547239801517,0.212205092782637
83,"correct_conditional",NA,4.47405668998804,1.04074925339624
84,"history_naive",14,7.36739899516323e+285,4.91159933010882e+285
84,"practical_naive",NA,1.2832269655499,0.201693481817142
84,"correct_conditional",NA,1.24334317977375,0.0772875551391763
85,"history_naive",14,7.34531889300733e+285,4.89687926200489e+285
85,"practical_naive",NA,1.15995909078771,0.241077016599523
85,"correct_conditional",NA,1.39247741563222,0.352018896226306
86,"history_naive",14,7.23590703598024e+285,4.82393802398683e+285
86,"practical_naive",NA,1.01478723850527,0.209921231867652
86,"correct_conditional",NA,1.74114490118917,0.420612286322662
87,"history_naive",14,7.38954547032736e+285,4.92636364688491e+285
87,"practical_naive",NA,1.37803594499329,0.169470612903821
