"sim","scenario","method","first_crossing","direction","statistic_at_crossing","effect_at_crossing","final_effect","type_m"
43,"Alternative: 35% vs 30%","e-RTb design directional",458,"benefit",0.138888888888889,0.138888888888889,0.0792733862626039,1.7520241715019
44,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0261433570919775,NA
44,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0261433570919775,NA
44,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0261433570919775,NA
44,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0261433570919775,NA
44,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0261433570919775,NA
45,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0180129275098538,NA
45,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0180129275098538,NA
45,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0180129275098538,NA
45,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0180129275098538,NA
45,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0180129275098538,NA
46,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.443234630207,0.0437873407421492,0.0437873407421492,1
